,Text,Label
1300,"Esta banda d corruptos no se cortan un pelo, van de limpios y son, además de miserables, una organización criminal creada para delinquir! Y no lo decimos muchos ciudadanos, lo sentenció la justicia en su día por la cantidad d episodios de corrupción entre sus filas y altos mandos https://t.co/Ju3UpImINd",litigious
1315,@mmcuesta El sustento técnico de un criminal es el terror y la violencia,litigious
1377,"Seguir adelante, aprender, reconocer, reflexionar y aplicar.

(Edduin Arrué)

#photography #smile #somewhere #thinking #january #awesome #someday https://t.co/miusAz0Vhc",uncertainty
1413,"Que se va la hora con todo lo que hay que hacer por aquí, pero no me olvido, vamos que nos quedan aún por aprender cosas muy muy muy! Venga, que tenemos curiosidad y ganas! 💜
#DiaInternacionalDeLasPymes #PyMEsDigitales #pymes #MIPYMES #innovation #Trending #Tendencias #HoldOn https://t.co/XbI2yNvamG",positive
1446,lo lindo q sería escuchar merry bad ending en uno de esos conciertos /cry,negative
1507,"✅ Requisitos:

1️⃣ Documento digitalizado con respaldo de firma electrónica, documento desmaterializado o documento electrónico, salvo las disposiciones emanadas de autoridad competente o disposición legal.",litigious
1524,QUESTION TE AMO,negative
1642,"✅NUEVO:👉 Netflix Games anuncia el lanzamiento del aclamado juego de estrategia ""Into the Breach"" y podrás jugarlo desde tu smartphone

https://t.co/iw73WZ1DDQ",litigious
1704,"@94tomlinsonn Daydreaming, From the Dining Table, Perfect Now(no me funen&lt;/3) Music For a Sushi Restaurant y Little Freak 

la verdad es que pagaría por todas las canciones 10 minutes version de mis favs",positive
1814,@ultimahsv Fuera ese criminal de los indígenas,litigious
1988,@jdeliciaa MANO QUE LEGAL,litigious
2198,@dannapozoss @BadBunnytwetts esq no hay bad bunny sin bacacho,negative
2251,"@EL_SENOR_X Gracias, aca encuentra todos mis temas, hay de muchos generos.

Anything Is Possible - MagikAir #SoundCloud
https://t.co/eydnmNqasK",uncertainty
2279,confirma criminal @LeonidasIzaSal1 @EcuadorConIza @CONAIE_Ecuador  son una lacra la carne de perro del profugo #IzaTerroristaCorreaFinancista #IzaAsesino #CorreaNuncaMas pd. @BancadaUNESec que fue las renuncias vean angelitos https://t.co/sLk0lJfAGn,litigious
2291,"Como dijo bad bunny: “pero dale easy que sabes que soy pisci y enamorarme es bien fácil, pero olvidarme es difícilll”",negative
2429,"Biden pide perseguir ""industria criminal"" de tráfico de personas tras muerte de 50 inmigrantes en Texas https://t.co/tL96IFPMUB",litigious
2439,criminal https://t.co/wmRDrzgTRH,litigious
2492,@Ser_o_no_servir @EmbajadaRusaES EEUU es la nación más criminal.,litigious
2711,"@LaComunaEc @AsambleaEcuador @LassoGuillermo La mejor noticia q de puede saber y esperemos q de una vez de largué pero a la cárcel este criminal demente, veamos ahora si las fuerzas armadas se ponen del lado del pueblo y detienen a este mafioso genocida.",litigious
2712,@TaktoYae Legal,litigious
2744,GARRAPATEIRO (ZAPATEIRO) POR FIN FUERA ESTE CRIMINAL DE LESA HUMANIDAD. https://t.co/u01iHrjXs6,litigious
2787,Mañana empiezo mi primer trabajo legal 🥳👍🏼,litigious
2865,WOLFGANG?? QUESTION?????????? YO ME MUEROOOOO,negative
2901,"Miguel Ángel Rodríguez Cobos, Global Head of Innovation en #MAPFRE, estará en #DIAAMS 2022, el gran evento sobre #insurtech a nivel global. ¡Os esperamos! #DIAlogue

📅 Miércoles, 29 de junio

Más info 👉https://t.co/uMZ4SxinQ8 https://t.co/YbmHVFSHVo",positive
3102,"Como amo best of me bro, de verdad es mi canción chau",positive
3176,"Si en Costa Rica la mota fuera legal, terminaríamos de ser la pura vida 🤌🏻",litigious
3239,"Good Smile Company anunció el re-lanzamiento de la figura de la línea POP UP PARADE basada en la diosa Aqua del anime ""Kono Subarashii Sekai ni Shukufuku wo! (KonoSuba!)"", Mide 185 mm y tendrá un precio de 4,800 yenes, para noviembre de 2022. 
#konosuba #goodsmile https://t.co/TPnAfuIbVR",positive
3405,Carlos Álvarez saca cara por Jossmery Toledo: “La trataron peor que una criminal” https://t.co/iT704Ki7PJ,litigious
3471,"La CPI lo espera, a todo criminal le llega la hora. https://t.co/ACIn4SteNq",litigious
3608,"La muerte de un camionero violenta y cobardemente, es un típico acto mafioso con fin desestabilizante de la derecha. No tienen un sólo código, un atisbo de humanidad..Nada ..es un acto criminal que CLAMA POR JUSTICIA YA..REPUDIO Y DOLOR #PiquetesDeLaMuerte",litigious
3880,Grupo criminal aterroriza carretera e incendia y balea unidades en Chilpancingo https://t.co/TGuitbrUVs https://t.co/9USkl7mtQ4,litigious
3895,"ALERTA ANTE LA MASACRE DEL CRIMINAL LASSO. 
EL DICTADOR PERDIÓ LA CORDURA.
SALVAJE REPRESIÓN DE LA POLICIA.
DEBEMOS APOYAR AL PUEBLO ECUATORIANO QUE LUCHA DIGNA Y VALIENTEMENTE CONTRA LOS QUE DESTRUYEN SU DEMOCRACIA.
¡¡FUERA PRENSA CORRUPTA!!
#FueraLassoDictador
#MuerteCruzadaYa https://t.co/F2x6p0xbsL",litigious
3934,@AdriGonzales503 @juliolivo2018 @nayibbukele @BancadaCyan metamos preso a ese viejo criminal ortiz,litigious
4054,@eduardovarascar ¿ Líder indígena ? Estás hablando del criminal  de Iza ?,litigious
4066,Socapador del criminal https://t.co/EFMrzhVFWc,litigious
4098,"Ya fue suficiente.. hay que hacer un llamado al pueblo quiteño, a los forajidos que sacamos presidentes, pero esta vez para sacar a Leonidas Iza de la capital, como el terrorista y criminal que es. Vamos a demostrar quienes somos la mayoría.🇪🇨🇪🇨",litigious
4241,"@GlowBrokenDream @Dario__MayBe Un lado de la cama es como una varita mágica, tu no eliges el lado, es el lado quién te elige a ti 😂🧙🏼‍♂️",uncertainty
4253,"Ya nos vamos a reir de este milico criminal y violador cuando no llegue ni al 5% de votos a favor...
¡Sirviente de Nadine..!
🤣🤣🤣😂😂

Cc. @marthamoyano
Mis respetos Sra. Martha. Pronta recuperación. 👍👍👏😊💪🇵🇪 https://t.co/vCDfqJShQg",litigious
4284,@jaimenebotsaadi usted es corresponsavle de este gobierno criminal!Algún momento tendrá que responder https://t.co/pIFnTLmgEn,litigious
4394,"@VMPPV La leyenda viviente y capitán Yandel, los extraterrestres, el dúo de la historoa, el dream team, los vaqueros",positive
4439,EL CENTRO DE ACCION LEGAL COMUNITARIA (CALC) CONTINÚA ATENDIENDO LAS DEMANDAS DE LOS VECINOS https://t.co/TUI6jNvtmO,litigious
4678,"@heidy_up @Cristian_Vivas @IvanDuque Se le agradece ser el mas grande ZubpreCidente torpe e INEPTO que tuvo nuestro país desenmascarando toda la basura que mantenían oculta al pueblo...

MOSTRÓ LA VERDADERA CARA DE ESA ORGANIZACIÓN CRIMINAL...",litigious
4731,"@leonelapont3 @CONAIE_Ecuador Lo que deben hacer con ese verdugo de Iza es arrastrarlo y quemarlo vivo por utilizar a su propio pueblo para obtener sus propios beneficios. Infeliz, criminal.",litigious
4943,@RevistaSemana ¿Qué más se puede esperar de la Comisión de la Posverdad del Narcoacuerdo criminal de las FARC? https://t.co/E2LJUaEYOb,litigious
4977,"@jsanin Jajajajajajaja me encanta cuando los fracasados y resentidos sociales saben que al toro no le gustan las corralejas, pero aplauden la muerte de 5 millones de pollos durante el paro criminal, jajajajaja eso me encanta",litigious
5174,"@tecassss maybe, pero la conexión entre mis neuronas no",uncertainty
5211,"@Law_vapes @GatoGalos @EstoyAvisando Yo he tenido que pagar, pero cuando me asciendan a a masón junior me voy a hartar a ardenocromium de ese.",litigious
5212,"@Mzavalagc 49 niños murieron asesinados con quemaduras y solo te importaba tu politica para mantener el neiliberalismo en Latam. 
CRIMINAL
Este twit no lo escribiste tú encubridora de asesinos de niños incluyendo sacerdotes de mierda, no puedes hilar dos palabras sin cagarla.Quién fue? Jjaj",litigious
5217,"el anterior sin nadie y este 4 de julio estoy igual, lo siento bad bunny te he fallado",negative
5233,@Alex__MayBe Increíble pero cierto,uncertainty
5395,Senadora Kempis propone reforma que incluye a bitcoin como moneda de curso legal en México https://t.co/tjOIatYdaa,litigious
5420,"ni en pedo, el famoso es peronista, de la banda criminal https://t.co/cyVcyBFJCF",litigious
5432,"#GuiaDelInversor | El inversor extranjero goza de los mismos incentivos que el inversor local:

📎 Ley de promoción de inversiones
📎 Marco legal atractivo
📎 Zonas francas
📎 Puertos y aeropuertos libres
📎 Admisión temporaria y devolución de tributos

🔗 https://t.co/Rar6GlMJcV https://t.co/X2p2ZcPaG2",litigious
5495,@MysterySolvent Criminal,litigious
5517,"Hoy dos personas diferentes me escribieron a mi wpp personal solicitando una asesoría legal, cuando les pregunté que como consiguieron mi número me indicaron dos nombres de compañeros del pregrado con los que poco o nada hablo, y entendí dos cosas:",litigious
5616,"@Kelme_boy @aNonIfb Los pasos que siguen:
1. Votación en Asamblea no da paso a destitución 
2. Buscarán meter presos a los dirigentes indígenas y lo lograrán 
3. Represión salvaje y criminal contra todos los que apoyen el paro
4. Posicionarán fake news .
5. Impunidad total del gobierno",litigious
5636,@maria_patino @salvameoficial Operación deluxe investigados por una organización criminal sinvergüenzas,litigious
5720,"@N4rcisoGodlike @NoahPrinc3 @FutSheriff @Criminal__x Y tú no hablas ninguno, Sudaca.
Que pena. 😩",litigious
5724,"@ALBERTOACOSTAB Si iza tiene sus manos manchadas de sangre, @LassoGuillermo tiene todo su cuerpo por criminal",litigious
5761,bad da porra mano,negative
5778,@lalisabstdancer JAJAJAJAJJAJAJAJJAJAJAJAJJA,positive
5900,"@GlodeJo07 Actualmente es legal, siempre y cuando no sean armas exclusivas de las fuerzas armadas. 
El problema es la disponibilidad (1 sola tienda legal en el país) y los muchos trámites para obtenerla y transportarla.
En todo caso la discusión es sobre las regulaciones.",litigious
5914,"Los estudiantes de la BUAP Valeria Medina Ramírez y Marco Antonio Rodríguez Ríos obtuvieron la Beca Santander Explorer, para asistir en julio próximo a la European Innovation Academy, en Oporto, Portugal.

https://t.co/HDuDddR3cL",positive
6534,"@Martinminguchi @LassoGuillermo Como ayer trataron de sabotear la reunión. No sería nada raro que el gobierno se haya hecho un autoatentado, que espero le haya salido mal, porque si le salió bien sería desastrozo. En cualquier caso es criminal.",litigious
6559,"#Local
Este martes los alcaldes  @SalvadorZamoraZ , @PabloLemusN , @SergioChavez_D  y @RSantillanCts se reunieron para dar a #Caabsa un ultimátum con peso peso legal, pues esta mañana tanto la empresa como los equipos legales de los municipios firmaron acuerdos de cumplimiento https://t.co/fjWTjYrdQo",litigious
6637,"@analisisvisto @ekbufalo Eso lo sabemos todos los que fuimos a las Manifestaciones, fuimos carne de cañón, caídos en el asfalto, presos, exilio, a eso se llama meter el pecho, enfrentarse al régimen criminal , esos jóvenes con escudos de carton, que perdieron la vida. Ud es otro vendido tarifado $$$.",litigious
6697,@CONAIE_Ecuador Que pena pero sabe que lo que hicieron es criminal y la ley les tiene que castigar nosotros como ecuatorianos exigimos justicia para los muertos para los daños economicos daños materiales,litigious
6753,m quiero tipo chapar a bad bunny,negative
6930,y pa enamorarme me dijo que le gustaba Bad Bunny más que a mi🤧😍,negative
7094,lo prejuzgadora que soy ahora estoy obsesionada con dreams come true aespa ver y cuando salio me NEGABA a escucharla anda a saber porque pero bueno la gente crece🤩🤩,positive
7096,Un criminal cualquier https://t.co/2ZBV2ZzODz,litigious
7097,@JJDiazMachuca @lopezobrador_ @m_ebrard @Claudiashein @GabyDuranA Gobierno criminal,litigious
7132,"@DiegoAcuOficial El problem no es s,salen cosas dlictivas dl ignorant y nadie hace nada solo los q' scribimos destacamos eso, sin considerar los q' lo defienden, pero el resto nada d nada, la gent ha ncontrado a alguien igual a todos los q' fraguan y engañan, es normal para ellos x eso no podemos",negative
7150,"Un placer escuchar a @juliomayol sobre innovación y generación de valor en salud en @UIMP. Grandes reflexiones....
#UIMP #Seguridad #innovation 
@jltb59 @meriorof https://t.co/AHZzYbmHx4",positive
7164,"#Azuay | Con el objetivo de hacer cumplir la normativa legal vigente, realizamos inspección posregistro a viveristas del cantón Paute.
 #CultivosSanosYDeCalidad https://t.co/WDIvPTOWbU",litigious
7174,"@sanchezcastejon Sexualizar el arcoíris. 
Sexualizar a las personas cuando nunca ha sido un inconveniente. 
Siempre creando bandos entre españoles. 
Siempre un partido criminal llevándonos a la ruina. https://t.co/OyPTxdkDwj",litigious
7198,"#País 
Ken Salazar critica leyes migratorias; urge a una migración segura, ordenada, humana y legal https://t.co/jYx0nUUco7",litigious
7213,"Es decir, la palabrería de “abrazos, no balazos” es, para variar, demagogia.

A @lopezobrador_ no le importa la vida de nadie, sea una persona honrada, un terrible criminal, un niño o un sacerdote.

López lo que quisiera es mostrar que los homicidios bajan. MOSTRAR, ni ⬇️",litigious
7506,como no voy a conseguir entradas para bad bunny🥺,negative
7768,@ENSM31 Jajajaja 😂 not possible!,uncertainty
7907,"@Plin02704587 @Lentejitas Siento ser pesado, pero tiene que haber alguna argucia legal, por ejemplo los okupas no tienen contrato de arrendamiento, luego no soy arrendador.",litigious
8053,"@juanonjuan10 @ChelaESPNcommx ¿Por qué no invitas a 𝗗𝗲𝘃𝗶𝗻 𝗕𝗼𝗼𝗸𝗲𝗿 𝗚𝘂𝘁𝗶𝗲́𝗿𝗿𝗲𝘇 a la Selección Mexicana? 
SU MADRE ES MEXICANA y, NO CREO QUE LO INVITEN AL ""DREAM TEAM"".
https://t.co/hEiLeS4eg2",positive
8159,"@GalletasFGC Dead Cells
Hollow Knight
Blasphemous

Y ya de otro rollo fuera de metroidvania, con más estrategia que skill:

FTL
Into the breach

Te miro más cuando llegue a casa que he jugado tantos que se me olvidan.",litigious
8332,"@iamcamiila @Pris_Aguilera @gabrielboric Difícilmente alguien va a ir a reclamar o protestar ahí, acá las dependencias públicas son mini feudos, te pillan haciendo algo legal pero que les moleste y te dan una PLR. Otros simplemente están en faena o descansando en sus casas. Bien por él en todo caso, pero no me convence",litigious
8367,@pablobordaok Pues si era comunista y criminal el pusilánime  (((jacobo))). La liberación fue un movimiento popular genuino. Mamerto,litigious
8457,"@CarlosFGalan @petrogustavo ¿”Compromiso de Petro para que la violencia no vuelva a mediar el trámite de los conflictos”?

Por favor! La campaña de Petro no solo fue inmoral sino también violenta. Eso sin hablar del paro criminal que organizó para desestabilizar el país y tomarse el poder.",litigious
8818,"19 de Julio. Uuuu chabon que ricooooo!!!!

Recordatorio que Into the Breach esta buenísimo y yo lo considero mejorcito que FTL.",litigious
8872,@pedropalaciosu Otro acto criminal colocando alambres de extremo a extremo en el redondel de la Clínica Santa Ana. Av. 12 de abril para que las motos pierdan el control; hagan algo o esperan que existan heridos de gravedad o peor que alguien muera producto de la insensatez. https://t.co/dVr6gcNbfA,litigious
9006,"Increíble... Al nivel de mediocridad, de absurdez, de estupidez, pero de la más peligrosa, la que demuestra que nos abes lo que estás haciendo, ni las consecuencias de tus actos.  

Pero que gentuza son, esta casta política criminal y corrupta, de este asqueroso Estado. https://t.co/Il5zZEVzNr",litigious
9066,"@oficial_char fnaf es mierda como, la saga en general security breach nada mas o que explicate",litigious
9106,"@NickyESD Na que ver, pero es que me sale el que más odio sabes jajajajaja el breach 😑",litigious
9157,we lost the summer no te valoramos lo suficiente como sociedad,negative
9279,@Renault_Co @Agenciauto o te tumban en la asesoría o en la letra chica con RCI Colombia. #ATENCION #DenunciaCiudadana OJO no usen ese medio ni esa agencia ademas hacen un combo con @SegurosSURAcol donde el final la tumbada sale legal. @sicsuper @elcolombiano @NoticiasRCN,litigious
9300,"La mayoría estámos perdiendo tdo,para q muchos,q no han trabajado,ni trabajarán nunca,vivan d pueblo español,inmigración legal e ilegal,menores incluidos. No nos roba""el lute"",personaje q hiciste en el cine Inmanol,sino el Estado,Autonomías, Ayuntamientos.
https://t.co/SnuxSXSZYi",litigious
9537,"@Andrealt1990 @petrogustavo En realidad NO, en Estados Unidos las penas son muy fuertes, hay pena de muerte en algunos estados y aún así prevalece el crimen. Si vió? A usted le dará miedo la pena de muerte o una sentencia pesada, porque supongo que es una persona de bien, pero al criminal no le da miedo",litigious
9694,"@IvanCepedaCast @IvanCepedaCast : ¿ EL DIFAMADOR OFICIAL DEL EXCELENTÍSIMO SEÑOR CRIMINAL, EN ESTADO DE IMPUNIDAD, @petrogustavo ?",litigious
9717,"@sunsubbey si quieres más, la canción de fnaf 1 y la de security breach (to my grave) de forma no irónica son muy buenas, dandelions de ruth b, atlantis de seafret, mándame un audio de aitana, middle of the night de loveless y monochrome city que es un opening jeje",litigious
9907,"Escuché en un programa que un artista tiene 3 meses viviendo aqui y trabajando..

Vino con visa de trabajo?
Está legal?",litigious
9998,"@romeoauerbach Diputado por favor presente una iniciativa de ley o reforma al bienestar animal @JavierVasquezBA para ayudar a nuestros perros callejeros, donde los envenenan,queman,atropellan, macheteados,mueren de hambre, de enfermedades y nadie hace algo por ellos. Esto no es normal. Criminal",litigious
10029,"No son manifestantes. Son delincuentes que usan la protesta para extorsionar a civiles indefensos, llevan armas cortopunzantes, lanzas, palos con puntas metálicas. Esto no es una manifestación es un ataque criminal contra la población civil. El golpe está en marcha.
#ParoNacional https://t.co/GJVJiJqsRc",litigious
10066,Carlos Correa argumenta que expresarse en Venezuela tiene un costo muy elevado: “cierre de medios y persecución criminal” https://t.co/bA9P1l18nL https://t.co/ocXn3ggSeR,litigious
10072,"@vergara_raydel @EmmaRincon Este señor de la tercera edad con cognitive problems, de verdad no sé a quien se le ocurrió",negative
10101,Pedofilia legal quieren los weones https://t.co/159vTavpop,litigious
10434,@FrancisDiazF @Meergaret @carlagaleote Pero entonces como es que es legal abortar en españa?,litigious
10489,@Un_BuenTwett Legal JAJAJAJA,litigious
10566,"Esto es un acto criminal una salvajada, deshumanizados y racistas. https://t.co/om76if80Rg https://t.co/B5jiGKsVn6",litigious
10588,"@carlosvarela02 El golpe de estado se empezó a gestar en febrero. Si no hubieran dejado solo a Zorrilla, se podría haber evitado la criminal dictadura que tuvimos que sufrir... https://t.co/vNg6cgiEJP",litigious
10728,"@rkrupse @AlvaroUribeVel Merece ser juzgado como un criminal de lesa humanidad y que se presente ante la JEP, a veces necesitamos tan sólo que reconozca sus atrocidades, para que ese 50% de simpatizantes despierte .",litigious
10735,"@AlbertoRodNews @3HUATECOS Eso no es noticia,es reconocimiento de labor criminal  que la conoce todo mundo,es evidente¿ A que tanto escándalo, acaso no vimos tanquetas arrollando al pueblo que manifestaba en su contra ?",litigious
10770,"@culesince97 Por más que duela quedarse a frenkie es un riesgo, como pivote fijo no da el rendimiento de busi y de interior el mismo ha dicho que no se siente cómodo. Con 25-26 años otra temporada así sería devaluarlo",litigious
10783,@ChumelTorres @LuisGallegoss Pues recuerda que justo por la Sierra Tarahumara asesinaron a la periodista Miroslava Breach en 2017 así que el infierno en la zona no es nuevo.,litigious
10901,q cobarde no querer luchar x la persona q te hace brillar los ojos dijo bad bunny,negative
11141,@pe_draws Primera edición era muy criminal,litigious
11209,@chenlovestooru NZHDKZBSI INCREDIBLE,positive
11252,"Los mexicanos amamos los videos donde matan a los criminales, nos unen como sociedad.

El criminal que más nos gusta es el que está baleado y muerto en el pavimento. Así no le cuesta a la sociedad ni sale de la cárcel.

Muerto el perro se acabó la rabia.",litigious
11319,Tengo una combinación de Needy y Bad bunny en mi cabeza.,negative
11515,@EtuboLion Criminal law,litigious
11823,@ELTIEMPO Después de acribillar a los jóvenes  de que honor y de que se devén al pueblo. habla este criminal,litigious
11932,"@consuejmza Jajajjajaja de esto me acordaba mucho!!! It’s almost here 
😍😍😍😘🐰",uncertainty
11933,"@charovargas_ Una mujer con vagina, puede llegar a ser el individuo más intolerante, retorcida, prejuiciosa, odiosa, transfobica y criminal como cualquiera🤷🏻‍♂️ ser mujer no es un privilegio, eres una más 🤷🏻‍♂️",litigious
11955,@DrChavezDiaz Algún criminal salió herido ?? No! Hay que bueno diría nuestro presidente!,litigious
11972,@el_lluk Tia q es il·legal,litigious
12007,La nueva actualización de Security breach está bien Aunque me decepcioné escuchar que está sea la actualización más grande y Que las próximas que salgan sean más pequeñas corrigiendo solamente errores seguramente https://t.co/iiEQosX6Zn,litigious
12069,con la mala suerte que tenemos nos toca ver una pelea con star lost de fondo o algo asi mientras todas las otras lloramos,negative
12558,"‼️El autor de la saga ""Wolf Pack"" comenzó a seguir la cuenta‼️

Thank you very much @EdovanBelkom so excited to see the serie! 🐺 https://t.co/i5pRvBpBPn",positive
12642,"@carlos_breach @mariagarridos Raro, para mi te ves más mexicano que el Chapo guzman",litigious
12657,Basta por favor de traducir legal como obligatorio por favor que ganas de hinchar las guindaaaaaaassss,litigious
12870,"Bad Bad News , si te gusta eres mi pana 🎸
https://t.co/cIKIjxcIUc",negative
12893,criminal minds&gt;&gt;&gt;&gt;&gt;&gt;,litigious
13014,@Hugo_Gutierrez_ @convencioncl Son a lo mejor de temer la izquierda cuando hace trampa y adoctrina pero no para ser vencido por tu ideología criminal y nefasta. https://t.co/VT7PnaG3Zh,litigious
13057,@simon_schama @DavidHeadViews Incredible testimony…,positive
13094,CANCIÓN CON YANDEL / Bad bunny ft. Yandel,negative
13126,@S_Hernan_SR este gobierno es más criminal que el anterior y todos están callados!!!!,litigious
13174,@Jusweettbsl estoy de luto,positive
13228,"Él ha usado sus poderes para salir fuera del coche con las súcubos, y ahora son cinco los demonios que se han sentado en un banco a ver cómo el coche da vueltas de campana.

— Oye, Law, ¿No deberías hacer lo mismo con ellos?

El médico se encoge de hombros.

#BangkokChouGO",litigious
13304,"@Joelito_Fonseca Cómo digas mi ""good vibes"" jajaja si no tienes fotos me imagino por algo será🤷🏽‍♂️🥱 se nota que ya eres mayor y sigues actuando como un triste pequeño no mayor de 10 años jajaja anda ve que te quita el celular tu mamá",positive
13760,"TODAS
La banda criminal corruPPta creada para delinquir ha puesto todas las excusas posibles habidas y x haber e inventarán lo q sea necesario para no renovar el CGPJ, les va la vida n ello, xq si hubiera jueces íntegros la cúpula d los corruPPtos y más allá, estarían n prisión https://t.co/V7M8AisjdH",litigious
13766,"@OskarMatute Si hay partidos que deberían estar prohibidos serían usted los de VOX por antidemocráticos y otras muchas taras y el Partido Penitenciario como organización mafiosa y criminal que sólo busca hacer dinero a toda costa.
Ala, a ladrar al monte.",litigious
13935,"@exitosape @KarinaNovoaL Si negativa es una tremendo error, que solo contribuye a sembrar más dudas y darle credibilidad a la tesis del Ministerio Público, que lo señala con cabeza de una organización criminal.",litigious
13941,@elrenacidoarg @Mercadolibre Pequeño data breach,litigious
13951,"@maybe_hatake Definitivamente, esas escenas siempre se agradecen 😏
#Shadowhunters #SaveShadowhunters https://t.co/T3WvNLRYHa",uncertainty
14002,@MariaPi17610856 @ALFONSO57820023 Asi es te das cuenta MaPizza que todo este plan de maldad es de La sra K Fujirrata por vengarse de Martin Vizcarra por meterla presa 3 veces y al cerrar el congreso utilizo a la bestia de Manuel merino para derrocarlo y ella no quizo salir a la palestra poor que estando en el,negative
14245,hasta que se bajó yo tuve la esperanza de perfect now https://t.co/F06ooFiGdg,positive
14257,@angryhelaa criminal minds,litigious
14265,@Xela_015 @Dario__MayBe Miralo como lo ha entendido. Seguro que has tenido drama por eso!,uncertainty
14389,@lay_beau QUE LEGAL,litigious
14487,"II Insurance Tech Summit 2022: El impacto de la digitalización en el sector seguros. 30 de junio.
Para asistir al evento, regístrate gratis: https://t.co/xL3vUop46e

Mira la nota completa aquí:
https://t.co/75wsIBgnKz

👉👉 👉Nuestra Newsletter Mensual: https://t.co/ryTqtHat6h",positive
14626,"Que pesar lo de los inmigrantes muertos en un camión, lo de la frontera es criminal 😔",litigious
14873,"Terrorismo segun la Rae:
Sucesión de actos de violencia ejecutados para infundir terror.

Actuación criminal de bandas organizadas, que, reiteradamente y por lo común de modo indiscriminado, pretende crear alarma social con fines políticos. https://t.co/VjaihCNLuw",litigious
14951,@luifvz Legal,litigious
15028,"Nos vemos las caras contra Boston Breach en el primer partido de los Qualifiers del Major 4.
#BrickByBrick

https://t.co/a91J6tWAYL",litigious
15070,"@JosepNada @salvaverges Un referéndum no sería legal actualmente, pero el gobierno de la nación si podria realizar una consulta legal, con garantías y no vinculante y saber de una vez la situación real en Cataluña.
Quizá así desaparecerían los hiperventilados (indepes y no indepes)",litigious
15090,La reacción de Sánchez es cobarde y criminal https://t.co/eJbG3I1ZGK,litigious
15228,@mauroandinoe Si yo me entero que en la misma vereda viene un correista yo me paso a la otra. Se imagina arriesgar la vida en manos de semejante lacra. Vivo vivo no me esponjo. El piojoso criminal de esa calaña no se merece la presencia de un alto mandatario.,litigious
